agent_i,agent_j,batch_index,epoch,mean_absolute_disagreement,overlap_height,overlap_width,split
9,14,3,0,0.006853023543953896,16,16,validation
10,11,3,0,0.0005130998324602842,48,16,validation
10,13,3,0,0.01953599601984024,16,16,validation
10,14,3,0,0.012000725604593754,16,48,validation
10,15,3,0,0.0023169482592493296,16,16,validation
11,14,3,0,0.008082467131316662,16,16,validation
11,15,3,0,0.0025673587806522846,16,40,validation
12,13,3,0,0.009594832547008991,40,16,validation
13,14,3,0,0.0027395314536988735,40,16,validation
14,15,3,0,0.006137711461633444,40,16,validation
0,1,4,0,0.011709928512573242,40,16,validation
0,4,4,0,0.003993429243564606,16,40,validation
0,5,4,0,0.01914547197520733,16,16,validation
1,2,4,0,0.004297314211726189,40,16,validation
1,4,4,0,0.011008079163730145,16,16,validation
1,5,4,0,0.0015736158238723874,16,48,validation
1,6,4,0,0.003365331795066595,16,16,validation
2,3,4,0,0.0031320680864155293,40,16,validation
2,5,4,0,0.00513856764882803,16,16,validation
2,6,4,0,0.0005195638514123857,16,48,validation
2,7,4,0,0.005777016747742891,16,16,validation
3,6,4,0,0.002138360869139433,16,16,validation
3,7,4,0,0.0036459423135966063,16,40,validation
4,5,4,0,0.011848901398479939,48,16,validation
4,8,4,0,0.0037362079601734877,16,40,validation
4,9,4,0,0.022120080888271332,16,16,validation
5,6,4,0,0.004566056653857231,48,16,validation
5,8,4,0,0.008642781525850296,16,16,validation
5,9,4,0,0.006555367261171341,16,48,validation
5,10,4,0,0.006022157147526741,16,16,validation
6,7,4,0,0.004463634919375181,48,16,validation
6,9,4,0,0.006924092303961515,16,16,validation
6,10,4,0,0.002937549725174904,16,48,validation
6,11,4,0,0.0020869839936494827,16,16,validation
7,10,4,0,0.004910276737064123,16,16,validation
7,11,4,0,0.006160947028547525,16,40,validation
8,9,4,0,0.014473740011453629,48,16,validation
8,12,4,0,0.0012460307916626334,16,40,validation
8,13,4,0,0.009267544373869896,16,16,validation
9,10,4,0,0.011511402204632759,48,16,validation
9,12,4,0,0.013142303563654423,16,16,validation
9,13,4,0,0.0023400040809065104,16,48,validation
9,14,4,0,0.0035126633010804653,16,16,validation
10,11,4,0,0.00041105860145762563,48,16,validation
10,13,4,0,0.01031213067471981,16,16,validation
10,14,4,0,0.00899183563888073,16,48,validation
10,15,4,0,0.002220086520537734,16,16,validation
11,14,4,0,0.008235596120357513,16,16,validation
11,15,4,0,0.0022451116237789392,16,40,validation
12,13,4,0,0.010614625178277493,40,16,validation
13,14,4,0,0.002666871529072523,40,16,validation
14,15,4,0,0.0059592630714178085,40,16,validation
0,1,0,1,0.011669283732771873,40,16,train
0,4,0,1,0.012325327843427658,16,40,train
0,5,0,1,0.01596463844180107,16,16,train
1,2,0,1,0.004173902329057455,40,16,train
1,4,0,1,0.0012903680326417089,16,16,train
1,5,0,1,0.004295651335269213,16,48,train
1,6,0,1,0.009540032595396042,16,16,train
2,3,0,1,0.008632151409983635,40,16,train
2,5,0,1,0.008451946079730988,16,16,train
2,6,0,1,0.013780894689261913,16,48,train
2,7,0,1,0.002296623308211565,16,16,train
3,6,0,1,0.02244461514055729,16,16,train
3,7,0,1,0.010946817696094513,16,40,train
4,5,0,1,0.0037549161352217197,48,16,train
4,8,0,1,0.0032935815397650003,16,40,train
4,9,0,1,0.006174436770379543,16,16,train
5,6,0,1,0.00527814868837595,48,16,train
5,8,0,1,0.00679155346006155,16,16,train
5,9,0,1,0.0023059516679495573,16,48,train
